Time	latency	
16.746	97	
17.047	99	
17.347	94	
17.614	76	
17.777	6	
17.798	6	
17.849	31	
17.921	6	
17.942	6	
18.048	86	
18.312	85	
18.578	93	
18.846	76	
19.077	73	
19.342	117	
19.698	115	
20.013	79	
20.247	76	
20.480	77	
20.714	75	
20.949	80	
21.216	102	
21.515	89	
21.781	82	
22.047	100	
22.345	96	
22.680	137	
23.047	84	
23.322	105	
23.611	72	
23.764	6	
23.786	6	
23.807	6	
23.827	6	
23.915	67	
24.054	6	
24.074	6	
24.180	87	
24.450	93	
24.755	114	
25.081	94	
25.346	73	
25.577	80	
25.815	77	
26.081	110	
26.387	84	
26.647	89	
26.948	117	
27.280	92	
27.583	115	
27.914	95	
28.216	109	
28.553	116	
28.907	119	
29.252	97	
29.546	97	
29.878	134	
30.248	100	
30.547	96	
30.845	105	
31.178	120	
31.513	88	
31.779	86	
32.047	93	
32.320	82	
32.582	90	
32.848	83	
33.117	99	
33.416	96	
33.743	125	
34.112	113	
34.411	67	
34.652	104	
34.980	114	
35.282	73	
35.511	75	
35.774	105	
36.082	95	
36.347	70	
36.587	97	
36.880	95	
36.884	5	
